t,u,v
0,0,0
0.1,0.0525842,0.00600145
0.2,0.110048,0.0124229
0.3,0.172799,0.0193037
0.4,0.241213,0.0266862
0.5,0.3156,0.0346148
0.6,0.396154,0.0431352
0.7,0.482887,0.0522929
0.8,0.575562,0.0621312
0.9,0.673605,0.0726886
1,0.776042,0.0839955
1.1,0.881458,0.0960709
1.2,0.988011,0.108919
1.3,1.09352,0.122526
1.4,1.19564,0.136861
1.5,1.29207,0.151874
1.6,1.38082,0.167499
1.7,1.46042,0.183658
1.8,1.53,0.20027
1.9,1.58933,0.217248
2,1.63871,0.234512
2.1,1.67887,0.251986
2.2,1.71077,0.269603
2.3,1.73549,0.287305
2.4,1.75411,0.305042
2.5,1.76764,0.322774
2.6,1.77699,0.340468
2.7,1.78294,0.358096
2.8,1.78614,0.375637
2.9,1.78713,0.393074
3,1.78636,0.410394
3.1,1.78419,0.427586
3.2,1.7809,0.444642
3.3,1.77672,0.461556
3.4,1.77183,0.478323
3.5,1.76637,0.494939
3.6,1.76045,0.511402
3.7,1.75417,0.52771
3.8,1.74759,0.543862
3.9,1.74078,0.559856
4,1.73377,0.575693
4.1,1.72659,0.591371
4.2,1.71929,0.606891
4.3,1.71187,0.622252
4.4,1.70435,0.637456
4.5,1.69676,0.652502
4.6,1.68909,0.667391
4.7,1.68136,0.682124
4.8,1.67358,0.6967
4.9,1.66574,0.711121
5,1.65785,0.725387
5.1,1.64992,0.739498
5.2,1.64195,0.753457
5.3,1.63394,0.767262
5.4,1.62589,0.780915
5.5,1.6178,0.794416
5.6,1.60967,0.807766
5.7,1.6015,0.820966
5.8,1.59329,0.834016
5.9,1.58504,0.846918
6,1.57675,0.859671
6.1,1.56842,0.872276
6.2,1.56005,0.884734
6.3,1.55164,0.897045
6.4,1.54318,0.90921
6.5,1.53467,0.92123
6.6,1.52612,0.933105
6.7,1.51752,0.944836
6.8,1.50888,0.956423
6.9,1.50018,0.967867
7,1.49142,0.979167
7.1,1.48261,0.990326
7.2,1.47375,1.00134
7.3,1.46482,1.01222
7.4,1.45583,1.02295
7.5,1.44678,1.03355
7.6,1.43766,1.044
7.7,1.42847,1.05431
